checkpoint,seed,reward,steps,smoothness,completion,combined_score
checkpoints/model_4751360.pt,3,928.399999999993,716,0.22744665086737748,0.7955555555555556,735.1471079512485
checkpoints/model_4751360.pt,5,893.9209726443628,1000,0.25624771885289616,1.0,726.9942246216331
checkpoints/model_4751360.pt,1,885.4545454545263,1000,0.27620890004456755,1.0,725.0599618270819
checkpoints/model_best.pt,3,892.6199261992484,1000,0.2464535079148012,1.0,724.1246499224341
checkpoints/model_5001216.pt,3,870.4797047970344,1000,0.2591375803706034,1.0,711.1633094320447
checkpoints/model_best.pt,1,859.9999999999808,1000,0.2760971045795173,1.0,707.2194209158899
checkpoints/model_4751360.pt,0,865.5172413792883,1000,0.2564150557890398,1.0,707.1450801233098
checkpoints/model_5001216.pt,1,863.6363636363444,1000,0.2628114159239232,1.0,707.1077377302257
checkpoints/model_best.pt,5,860.4863221884353,1000,0.2709046632431005,1.0,706.5213581805248
checkpoints/model_best.pt,0,693.1034482758429,1000,0.283928640607072,1.0,591.9581419145044
checkpoints/model_5001216.pt,5,307.2948328267322,1000,0.3947364920698514,1.0,344.0536813926828
checkpoints/model_best.pt,2,276.11940298505993,1000,0.3012548212579625,1.0,303.53454634113444
checkpoints/model_4751360.pt,2,273.1343283581943,1000,0.30638122023894143,1.0,302.4702738985243
checkpoints/model_4751360.pt,4,9.090909090910468,1000,0.808258635667567,1.0,218.01536349715073
checkpoints/model_best.pt,4,5.454545454546636,1000,0.7903243647774577,1.0,211.8830547736742
checkpoints/model_5001216.pt,4,23.636363636365957,1000,0.7244209625980892,1.0,211.42964706507402
checkpoints/model_5001216.pt,2,-13.432835820895434,1000,0.8104429540212695,1.0,202.6856057296271
checkpoints/model_5001216.pt,0,6.583072100314714,1000,0.6962301147527341,1.0,193.85417342076713
